Tempo;Ocupação;E[N];E[W];Erro Little
33300;0.934846;9.801528;1087.969556;0.00000000000002664535
33400;0.936301;9.799530;1087.389705;0.00000000000003375078
33500;0.933506;9.797143;1090.379738;0.00000000000003552714
33600;0.934927;9.790486;1089.272635;0.00000000000001243450
33700;0.939277;9.782299;1091.600955;0.00000000000001421085
33800;0.936498;9.773450;1090.239597;0.00000000000000000000
33900;0.935012;9.768202;1085.711588;0.00000000000001598721
34000;0.935353;9.759930;1087.992230;0.00000000000001598721
34100;0.943734;9.744153;1085.868029;0.00000000000003019807
34200;0.940974;9.727682;1083.670119;0.00000000000004618528
34300;0.938231;9.713899;1085.298783;0.00000000000004618528
34400;0.935503;9.700196;1086.927448;0.00000000000004618528
34500;0.936024;9.683558;1088.217471;0.00000000000002842171
34600;0.936491;9.662669;1085.481661;0.00000000000002664535
34700;0.936975;9.642489;1072.417838;0.00000000000004796163
34800;0.937439;9.624634;1073.516827;0.00000000000003375078
34900;0.937635;9.606221;1071.109028;0.00000000000001598721
35000;0.936635;9.586013;1071.918351;0.00000000000002664535
35100;0.935567;9.560413;1068.695873;0.00000000000004618528
35200;0.937332;9.536886;1062.336719;0.00000000000004973799
35300;0.934676;9.512022;1062.577145;0.00000000000004796163
35400;0.934468;9.486359;1052.718248;0.00000000000004440892
35500;0.931836;9.460858;1052.854119;0.00000000000005151435
35600;0.929218;9.434283;1052.854119;0.00000000000005151435
35700;0.933558;9.409102;1046.432890;0.00000000000004440892
35800;0.930950;9.385613;1046.744416;0.00000000000004440892
35900;0.928357;9.362892;1043.875262;0.00000000000003552714
36000;0.927254;9.338547;1044.061106;0.00000000000003197442
36100;0.927542;9.314879;1037.861475;0.00000000000002486900
36200;0.924980;9.290634;1038.027582;0.00000000000001776357
36300;0.928522;9.265680;1031.730601;0.00000000000003197442
36400;0.925971;9.242972;1032.037349;0.00000000000003197442
36500;0.923434;9.220329;1032.337487;0.00000000000001598721
36600;0.925684;9.196571;1029.340962;0.00000000000001243450
36700;0.923161;9.174237;1029.646773;0.00000000000001421085
36800;0.928324;9.151469;1023.629359;-0.00000000000000888178
36900;0.925808;9.129378;1023.933310;-0.00000000000000888178
37000;0.923306;9.107407;1024.237262;-0.00000000000000888178
37100;0.922797;9.084897;1018.276925;0.00000000000001065814
37200;0.927902;9.067625;1009.927097;-0.00000000000001065814
37300;0.925415;9.054852;1005.196319;-0.00000000000001953993
37400;0.922940;9.048144;1001.185202;-0.00000000000001953993
37500;0.925386;9.043374;1003.332903;-0.00000000000001953993
37600;0.922925;9.037939;1005.403909;-0.00000000000001953993
37700;0.927913;9.029975;1007.189510;-0.00000000000001953993
37800;0.925458;9.020152;1005.786896;0.00000000000000000000
37900;0.923918;9.012211;1004.596517;-0.00000000000000177636
38000;0.923744;9.003071;1000.341273;0.00000000000000355271
38100;0.924486;8.994977;996.246036;0.00000000000001953993
38200;0.924609;8.991457;989.837668;-0.00000000000000532907
38300;0.924135;8.989389;986.514570;0.00000000000000532907
38400;0.931468;8.983983;982.863137;-0.00000000000000177636
38500;0.929048;8.980373;979.445811;-0.00000000000000355271
38600;0.926641;8.986652;971.666053;0.00000000000001421085
38700;0.927493;8.997370;967.217311;0.00000000000003197442
38800;0.925102;9.013491;968.763025;0.00000000000003552714
38900;0.928023;9.028707;972.899423;0.00000000000005329071
39000;0.925643;9.043098;971.572538;0.00000000000003907985
39100;0.927033;9.058086;972.997736;0.00000000000006750156
39200;0.938138;9.071544;976.935518;0.00000000000007283063
39300;0.935751;9.081540;980.506947;0.00000000000007283063
39400;0.933376;9.092091;978.766057;0.00000000000006572520
39500;0.931013;9.107048;982.864418;0.00000000000006572520
39600;0.928662;9.126373;979.415631;0.00000000000006572520
39700;0.927971;9.148324;981.590442;0.00000000000003375078
39800;0.929810;9.168238;986.205043;0.00000000000002664535
39900;0.927479;9.189817;980.410992;0.00000000000002664535
40000;0.930835;9.214067;982.833799;-0.00000000000000355271
40100;0.928514;9.237773;985.198612;0.00000000000000710543
40200;0.927708;9.260649;987.475029;0.00000000000000710543
40300;0.937644;9.276794;991.657304;-0.00000000000000710543
40400;0.935323;9.292323;993.147798;-0.00000000000001243450
40500;0.933014;9.311286;995.005540;-0.00000000000000177636
40600;0.930716;9.333253;991.963521;-0.00000000000000532907
40700;0.929102;9.359339;997.186108;0.00000000000001598721
40800;0.932718;9.384901;997.145770;0.00000000000001243450
40900;0.930438;9.410855;1002.354103;0.00000000000001065814
41000;0.929170;9.435777;1007.465748;0.00000000000000000000
41100;0.931960;9.456787;1009.542739;0.00000000000000177636
41200;0.929698;9.479044;1011.752845;0.00000000000000888178
41300;0.930803;9.499954;1016.445878;0.00000000000000888178
41400;0.930990;9.519281;1020.979918;0.00000000000000177636
