Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
12700;0,853547;3,201255;303,402504;2,398082E-14;0,010551
12800;0,86073;3,190953;302,549642;1,820766E-14;0,010547
12900;0,854058;3,181721;304,031123;1,865175E-14;0,010465
13000;0,854481;3,170905;303,101228;1,998401E-14;0,010462
13100;0,847958;3,148485;303,273221;1,820766E-14;0,010382
13200;0,848483;3,128943;301,474755;2,04281E-14;0,010379
13300;0,858372;3,11541;300,253319;2,575717E-14;0,010376
13400;0,851966;3,099624;300,977957;2,4869E-14;0,010299
13500;0,845655;3,080457;301,34902;2,575717E-14;0,010222
13600;0,839437;3,057806;301,34902;2,531308E-14;0,010147
13700;0,839842;3,040306;297,515666;2,797762E-14;0,010219
13800;0,833903;3,020122;295,586362;2,797762E-14;0,010217
13900;0,829086;2,998989;293,563045;2,531308E-14;0,010216
14000;0,823164;2,978151;293,620503;2,842171E-14;0,010143
14100;0,821865;2,95892;291,753645;1,731948E-14;0,010142
14200;0,816078;2,940713;292,014853;9,32587E-15;0,01007
14300;0,81433;2,923544;290,324186;5,32907E-15;0,01007
14400;0,815435;2,913683;287,376939;1,199041E-14;0,010139
14500;0,819973;2,900893;288,102387;3,10862E-15;0,010069
14600;0,816717;2,887995;286,834859;-4,4409E-16;0,010068
14700;0,815818;2,870323;285,09285;-1,77636E-15;0,010068
14800;0,810306;2,853593;285,359286;-5,77316E-15;0,01
14900;0,808162;2,835785;281,687944;-1,199041E-14;0,010067
15000;0,803977;2,822239;282,22393;-1,24345E-14;0,01
15100;0,798951;2,803848;280,384798;-1,021405E-14;0,01
15200;0,793695;2,785402;280,384798;-1,021405E-14;0,009934
15300;0,788508;2,767196;280,384798;-1,021405E-14;0,009869
15400;0,79068;2,75177;278,797705;-1,465494E-14;0,00987
15500;0,788614;2,740198;277,601722;-1,465494E-14;0,009871
15600;0,788812;2,72442;275,980163;-1,77636E-15;0,009872
15700;0,783788;2,712064;276,489635;-9,76996E-15;0,009809
15800;0,779976;2,696048;274,823001;3,9968E-15;0,00981
15900;0,775071;2,679092;274,823001;3,9968E-15;0,009748
16000;0,770227;2,662348;274,823001;3,55271E-15;0,009687
16100;0,765443;2,645811;274,823001;3,9968E-15;0,009627
16200;0,760718;2,629479;274,823001;3,55271E-15;0,009568
16300;0,765961;2,620793;268,67247;3,241851E-14;0,009755
16400;0,768704;2,630454;267,946825;4,041212E-14;0,009817
16500;0,764045;2,644187;269,315324;4,396483E-14;0,009818
16600;0,769473;2,652716;270,153865;4,618528E-14;0,009819
16700;0,770476;2,665751;271,451464;5,639933E-14;0,00982
16800;0,778767;2,679743;271,202896;6,217249E-14;0,009881
16900;0,774159;2,702942;271,903107;5,728751E-14;0,009941
17000;0,772091;2,739792;273,979195;5,817569E-14;0,01
17100;0,773166;2,771943;275,582717;5,861978E-14;0,010058
17200;0,774323;2,797394;279,739369;6,17284E-14;0,01
17300;0,778213;2,811695;282,804227;7,01661E-14;0,009942
17400;0,787207;2,822274;282,227389;6,217249E-14;0,01
17500;0,782709;2,833468;281,736889;5,506706E-14;0,010057
17600;0,788707;2,850851;285,08514;4,307665E-14;0,01
17700;0,784251;2,862287;284,62072;5,77316E-14;0,010056
17800;0,78598;2,878514;287,851357;5,329071E-14;0,01
17900;0,786187;2,889053;290,528398;3,863576E-14;0,009944
18000;0,808085;2,893028;289,302789;4,662937E-14;0,01
18100;0,803621;2,899144;291,525011;4,707346E-14;0,009945
18200;0,799205;2,910433;292,651269;5,506706E-14;0,009945
18300;0,794838;2,927637;291,172561;4,485301E-14;0,010055
18400;0,790518;2,955204;295,520387;4,396483E-14;0,01
18500;0,795054;2,979194;299,538523;4,751755E-14;0,009946
18600;0,79078;3,003954;300,395426;5,639933E-14;0,01
18700;0,809518;3,029233;302,923304;4,307665E-14;0,01
18800;0,805212;3,065725;301,757269;4,52971E-14;0,01016
18900;0,800951;3,107706;307,516431;4,52971E-14;0,010106
19000;0,796736;3,154719;310,568153;4,840572E-14;0,010158
19100;0,800429;3,204093;312,235605;5,728751E-14;0,010262
19200;0,799586;3,260916;317,815139;6,439294E-14;0,01026
19300;0,802272;3,315477;323,175326;6,306067E-14;0,010259
19400;0,80222;3,369393;328,473506;6,838974E-14;0,010258
19500;0,8022;3,416569;334,789451;6,57252E-14;0,010205
19600;0,804203;3,457133;340,501544;6,528111E-14;0,010153
19700;0,813016;3,492716;345,761286;6,750156E-14;0,010102
19800;0,80891;3,52053;350,283899;6,661338E-14;0,010051
19900;0,804845;3,553022;353,525693;6,483702E-14;0,01005
20000;0,808296;3,579786;354,434297;7,682743E-14;0,0101
20100;0,810464;3,613186;357,758766;8,704149E-14;0,0101
20200;0,821675;3,64418;360,84531;8,348877E-14;0,010099
20300;0,817628;3,67549;365,747271;8,348877E-14;0,010049
20400;0,81362;3,708756;369,066414;9,636736E-14;0,010049
20500;0,825528;3,743915;374,391508;9,503509E-14;0,01
20600;0,82152;3,774315;377,431455;9,103829E-14;0,01
20700;0,817552;3,809221;382,771261;9,103829E-14;0,009952
20800;0,813621;3,843792;388,111067;8,970602E-14;0,009904
20900;0,81428;3,877625;391,509027;9,769963E-14;0,009904
21000;0,830722;3,905455;394,300707;9,015011E-14;0,009905
21100;0,826784;3,934339;399,108399;8,926193E-14;0,009858
21200;0,822885;3,96295;403,916091;8,926193E-14;0,009811
21300;0,819021;3,994216;403,20759;8,792966E-14;0,009906
