Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
13500;0,599958;1,471582;0,014715;-3,448995866684E-08;100,005407
13600;0,599982;1,471177;0,01471;-3,204026732817E-08;100,011103
13700;0,600129;1,471793;0,014713;-2,591787939821E-08;100,033869
13800;0,600147;1,471742;0,014711;-1,602139909629E-08;100,041739
13900;0,600247;1,472323;0,014716;-1,136340399555E-08;100,048489
14000;0,600227;1,472461;0,014718;-6,76170430758E-09;100,0455
14100;0,600279;1,472754;0,01472;-1,36335254197E-09;100,050142
14200;0,600241;1,472293;0,014717;-5,91586246657E-09;100,038099
14300;0,600224;1,472181;0,014717;-7,41809369487E-09;100,035175
14400;0,600195;1,471679;0,014712;-4,70254013507E-09;100,034028
14500;0,600208;1,47176;0,014714;-5,8776736811E-09;100,025448
14600;0,600133;1,471769;0,014714;5,32902366679E-09;100,024589
14700;0,600168;1,471807;0,014714;5,78582048938E-09;100,025918
14800;0,60023;1,472249;0,014718;-6,4869087879E-10;100,032432
14900;0,600201;1,472269;0,014719;6,29626639714E-09;100,023423
15000;0,600211;1,472177;0,014718;-5,49538814454E-09;100,0246
15100;0,600267;1,47214;0,014717;4,01284672158E-09;100,031788
15200;0,600246;1,471977;0,014715;1,59207558248E-09;100,030724
15300;0,600243;1,471875;0,014714;8,52999937351E-09;100,033203
15400;0,600237;1,471888;0,014713;1,444863961808E-08;100,038831
15500;0,60021;1,471892;0,014713;1,397245874557E-08;100,037548
15600;0,600139;1,47149;0,014711;1,362306334407E-08;100,029744
15700;0,600117;1,471589;0,014712;1,4645122004E-08;100,029363
15800;0,600126;1,471983;0,014715;1,986672826249E-08;100,03443
15900;0,600159;1,471883;0,014713;1,467361188112E-08;100,037358
16000;0,600153;1,471925;0,014714;7,82445019887E-09;100,032375
16100;0,600156;1,472389;0,014719;9,98236693306E-09;100,031118
16200;0,600131;1,472344;0,01472;1,654331072132E-08;100,026049
16300;0,600162;1,472863;0,014722;1,905156254978E-08;100,042209
16400;0,600196;1,473174;0,014725;9,63975610446E-09;100,048537
16500;0,600225;1,473304;0,014724;5,43403477771E-09;100,058242
16600;0,600142;1,473106;0,014723;4,25947366267E-09;100,052349
16700;0,600116;1,472922;0,014722;4,23052615162E-09;100,051018
16800;0,600076;1,47305;0,014724;3,12352987919E-09;100,042381
16900;0,600099;1,473435;0,014729;-5,2774318249E-10;100,036154
17000;0,600081;1,472994;0,014725;-4,20348778007E-09;100,036765
17100;0,600115;1,472944;0,014723;-2,90389934E-12;100,042573
17200;0,600127;1,47336;0,014726;-3,0468183532E-10;100,051919
17300;0,600212;1,474043;0,014732;4,5051748998E-09;100,057168
17400;0,600243;1,474308;0,014734;1,009139927177E-08;100,05931
17500;0,600244;1,474381;0,014735;1,133656279961E-08;100,058629
17600;0,600204;1,474005;0,014733;8,75224137609E-09;100,050852
17700;0,600219;1,473969;0,014732;1,05679753837E-09;100,054463
17800;0,600148;1,473722;0,014731;-7,7686990174E-10;100,040506
17900;0,600128;1,473898;0,014733;-3,01134650549E-09;100,040503
18000;0,600113;1,473954;0,014734;-2,21699170133E-09;100,035667
18100;0,600102;1,473939;0,014735;5,2896953484E-10;100,028785
18200;0,600236;1,474832;0,014743;1,8133028412E-10;100,034231
18300;0,600201;1,474466;0,014741;3,28015903328E-09;100,027322
18400;0,600234;1,474552;0,014741;2,73328959466E-09;100,033315
18500;0,600197;1,474273;0,014738;6,9597831942E-09;100,031297
18600;0,600232;1,474715;0,014742;5,35357425058E-09;100,032419
18700;0,600215;1,474935;0,014745;1,80955495033E-09;100,02861
18800;0,600254;1,474785;0,014743;1,526433113241E-08;100,032021
18900;0,600306;1,475438;0,014749;2,65372501751E-08;100,034286
19000;0,600313;1,475421;0,014749;1,426693785334E-08;100,034158
19100;0,600308;1,475369;0,014749;-4,67327132547E-09;100,032356
19200;0,600299;1,475461;0,01475;-7,2845383059E-09;100,033438
19300;0,60025;1,475044;0,014747;-7,53292628275E-09;100,024352
19400;0,600162;1,474717;0,014744;-1,73080110244E-08;100,023969
19500;0,600193;1,474718;0,014743;-1,718861675215E-08;100,025231
19600;0,600206;1,474647;0,014743;-3,48120110516E-08;100,026582
19700;0,60016;1,474131;0,014738;-3,72740829313E-08;100,020914
19800;0,600156;1,474275;0,014739;-3,330980713478E-08;100,025
