Tempo;Erro Little 60;Erro Little 80;Erro Little 95;Erro Little 99
11100;-6,57885945721E-09;-3,718211827319E-08;-2,555677269811E-08;2,63389665633E-09
11200;-1,047525599596E-08;-4,10203289114E-08;-2,519486486108E-08;-2,12457962334E-09
11300;-1,029154250709E-08;-3,729355402271E-08;-2,522615005773E-08;-4,6374282192E-10
11400;-8,31284818759E-09;-3,573386164746E-08;-1,983102748682E-08;-2,32864749705E-09
11500;-9,31241972424E-09;-3,659174119264E-08;-2,379367103345E-08;-9,5782581866E-10
11600;-1,021435180881E-08;-3,397430781149E-08;-3,298093531612E-08;9,6657970516E-10
11700;-1,053511189397E-08;-3,106118606766E-08;-3,500226597453E-08;3,62196317383E-09
11800;-1,687051143229E-08;-2,974226953611E-08;-3,102083567796E-08;2,37525910052E-09
11900;-1,626156320711E-08;-3,280133764605E-08;-3,505193646447E-08;5,72475755689E-09
12000;-1,92761220319E-08;-3,333739284628E-08;-3,659182823412E-08;6,85675161094E-09
12100;-2,276185018246E-08;-3,424663086449E-08;-4,006606602047E-08;9,44913836065E-09
12200;-2,345726346498E-08;-3,447643459609E-08;-3,726590591668E-08;8,62394244905E-09
12300;-2,574805724187E-08;-2,481883321082E-08;-3,202795539892E-08;9,76906733285E-09
12400;-2,874313009826E-08;-2,683006439241E-08;-3,052043950902E-08;7,47526485156E-09
12500;-3,061825992745E-08;-2,660042852654E-08;-3,05766647557E-08;4,00018507207E-09
12600;-3,109470059215E-08;-3,033659989882E-08;-2,937378340562E-08;1,36003563966E-09
12700;-3,087341093888E-08;-3,33202625491E-08;-2,892592121384E-08;-1,3312728697E-10
12800;-2,9829459125E-08;-3,241891954886E-08;-2,909039764631E-08;3,11206349579E-09
12900;-3,058342334938E-08;-3,456977681893E-08;-2,836414125795E-08;1,496061941E-09
13000;-3,186814345746E-08;-3,390576797102E-08;-2,675461985291E-08;-4,65081484435E-09
13100;-3,1427550784E-08;-3,311466256761E-08;-2,407583465924E-08;-9,5118224408E-09
13200;-3,054411856773E-08;-2,752057293165E-08;-2,785139230355E-08;-1,56573349841E-08
13300;-3,990416974631E-08;-2,937710030793E-08;-3,091984979164E-08;-1,64112634593E-08
13400;-2,870022530743E-08;-1,806998550791E-08;-2,731190562599E-08;-2,037620561168E-08
13500;-3,448995866684E-08;-1,162096818774E-08;-2,414103406068E-08;-2,302626000983E-08
13600;-3,204026732817E-08;-8,28229351768E-09;-1,652857406498E-08;-1,758377266015E-08
13700;-2,591787939821E-08;-1,054163378811E-08;-1,066067056854E-08;-1,762677470651E-08
13800;-1,602139909629E-08;-1,154860962416E-08;-6,12500272723E-09;-2,30943015822E-08
13900;-1,136340399555E-08;-1,359602519457E-08;1,160065110639E-08;-3,603231846228E-08
14000;-6,76170430758E-09;-1,848819719541E-08;9,83611059269E-09;-4,319286972532E-08
14100;-1,36335254197E-09;-1,198316335049E-08;9,53716750018E-09;-5,111668599511E-08
14200;-5,91586246657E-09;-1,158821794078E-08;1,179202513413E-08;-4,526229702151E-08
14300;-7,41809369487E-09;-1,340865463106E-08;2,05129815356E-08;-4,24041104452E-08
14400;-4,70254013507E-09;-1,017908735079E-08;1,883891087573E-08;-4,414407328568E-08
14500;-5,8776736811E-09;-1,587032016914E-08;1,781034697501E-08;-4,076372306372E-08
14600;5,32902366679E-09;-1,100679103416E-08;2,299706736153E-08;-3,755386046578E-08
14700;5,78582048938E-09;-2,013864408568E-08;2,224093265113E-08;-3,649259383565E-08
14800;-6,4869087879E-10;-1,519698500374E-08;2,553965572361E-08;-4,214327020691E-08
14900;6,29626639714E-09;-2,618222705308E-08;2,484711814077E-08;-4,735471748063E-08
15000;-5,49538814454E-09;-2,661024511852E-08;3,146217508743E-08;-4,633042749447E-08
15100;4,01284672158E-09;-2,081772310092E-08;2,972079471419E-08;-4,78758721556E-08
15200;1,59207558248E-09;-2,547529343033E-08;3,073547105714E-08;-4,043897661177E-08
15300;8,52999937351E-09;-1,748431621706E-08;3,301845552528E-08;-3,841100237878E-08
15400;1,444863961808E-08;-1,43523481988E-08;3,514755064771E-08;-3,735176790087E-08
15500;1,397245874557E-08;-6,17284978688E-09;3,392286984649E-08;-3,936537495974E-08
15600;1,362306334407E-08;-3,6173712914E-09;2,984867464306E-08;-3,65932777413E-08
15700;1,4645122004E-08;-8,3638327375E-09;2,718241276511E-08;-3,620723987297E-08
15800;1,986672826249E-08;-4,47859971331E-09;2,891896500046E-08;-3,851616270367E-08
15900;1,467361188112E-08;-1,126243454053E-08;2,555047728947E-08;-4,04521784958E-08
16000;7,82445019887E-09;-1,636869706445E-08;2,090224526796E-08;-4,59599647229E-08
